            identifier             ,       coord                           ,  Mag V
HD 138867                          ,15 41 54.6880594752 -76 04 55.071821100,5.941
* bet Aps                          ,16 43 04.6585772236 -77 31 02.759334193,4.24
HD 200525                          ,21 09 22.4655980824 -73 10 22.140545077,5.67
V* SX Pav                          ,21 28 44.9248387 -69 30 19.389360      ,5.62
* omi Pav                          ,21 13 20.5042060488 -70 07 34.516955676,5.071
* alf Tuc                          ,22 18 30.0947834 -60 15 34.526307      ,2.82
HD 214632                          ,22 40 48.9170998344 -57 25 20.348818464,5.967
* eta Gru                          ,22 45 37.8819435648 -53 30 00.431531820,4.846
* eps Gru                          ,22 48 33.2980615128 -51 19 00.713323272,3.466
HD 217403                          ,23 01 07.5784812360 -50 57 00.102274452,5.672
* tau03 Gru                        ,22 56 47.8002992088 -47 58 09.193451916,5.714
* iot Gru                          ,23 10 21.5375522 -45 14 48.164650      ,3.877
HD 114971                          ,13 14 43.2669768240 -48 57 25.309605996,5.831
* f Cen                            ,13 06 16.7041134 -48 27 47.845997      ,4.691
HD 114772                          ,13 13 23.35287 -50 41 59.3747          ,5.899
V* V964 Cen                        ,13 20 37.8253517448 -52 44 52.169369424,5.443
HD 119159                          ,13 42 56.1103365744 -56 46 04.686383280,6
HD 118520                          ,13 38 48.9530492472 -57 37 21.776989440,6
HD 118978                          ,13 42 01.0842903360 -58 47 13.515787716,5.372
* bet Cen                          ,14 03 49.40535 -60 22 22.9266          ,0.58
NGC 5316                           ,13 54 03.8 -61 52 59                   ,6
HD 126241                          ,14 27 07.0866263736 -65 49 17.929103880,5.828
HD 129954                          ,14 48 44.5499575944 -66 35 36.822442200,5.88
* gam TrA                          ,15 18 54.5819834 -68 40 46.365362      ,2.89
V* X TrA                           ,15 14 19.1755012584 -70 04 46.113298104,5.81
HD 143346                          ,16 05 55.8192885648 -72 24 03.242827080,5.685
HD 169570                          ,18 32 55.3416155304 -73 57 56.154006648,5.888
HD 164712                          ,18 11 15.8073245544 -75 53 29.483622420,5.86
* phi Oct                          ,18 23 36.4487369880 -75 02 39.397448688,5.456
HD 186219                          ,19 49 25.3029107256 -72 30 12.161245572,5.392
* eps Pav                          ,20 00 35.5555788 -72 54 37.819779      ,3.94
* sig Pav                          ,20 49 18.1715144640 -68 46 35.476061304,5.407
* gam Pav                          ,21 26 26.6049826473 -65 21 58.313057521,4.22
HD 207229                          ,21 50 00.1239333072 -64 42 45.135802476,5.62
HD 207964                          ,21 55 11.39417 -61 53 11.7947          ,5.96
* kap02 Ind                        ,22 05 51.0160103016 -59 38 09.859707528,5.607
HD 212330                          ,22 24 56.3686693520 -57 47 50.841196599,5.31
HD 215405                          ,22 45 40.7845777776 -46 32 50.367080508,5.51
HD 115331                          ,13 17 13.9311522000 -43 58 46.194632364,5.803
HD 115912                          ,13 20 57.7004466240 -46 52 48.027849132,5.742
NGC 5139                           ,13 26 47.28 -47 28 46.1                ,5.33
V* V744 Cen                        ,13 39 59.8066660 -49 56 59.839473      ,6
* K Cen                            ,13 29 25.2542678376 -51 09 54.473494356,5.03
* eps Cen                          ,13 39 53.25774 -53 27 59.0081          ,2.3
* N Cen                            ,13 52 04.8623039016 -52 48 41.506341048,5.257
HD 120908                          ,13 53 43.0934737824 -53 22 23.956349160,5.873
HD 122438                          ,14 03 26.5063325736 -56 12 48.363935220,5.923
HD 125158                          ,14 19 51.5027170776 -61 16 22.705691232,5.23
* 26 Cir                           ,14 52 35.2587595008 -63 48 35.356730796,5.96
HD 129422                          ,14 45 17.3365585320 -62 52 32.337803676,5.36
* alf Cir                          ,14 42 30.4195804 -64 58 30.493451      ,3.19
* eta Cir                          ,15 04 48.1875657792 -64 01 52.864144968,5.168
* eps TrA                          ,15 36 43.2222326 -66 19 01.333399      ,4.104
HD 133683                          ,15 09 29.9144273352 -67 05 02.885225784,5.757
HD 136672                          ,15 26 14.7238174992 -68 18 32.999797764,5.892
* kap TrA                          ,15 55 29.5996908168 -68 36 10.803406644,5.097
* zet TrA                          ,16 28 28.1422653048 -70 05 03.824909916,4.899
HD 148488                          ,16 34 19.3461786576 -70 59 17.167996932,5.489
* iot Aps                          ,17 22 05.8756445976 -70 07 23.542561992,5.39
* zet Pav                          ,18 43 02.1352809 -71 25 41.206465      ,4.003
HD 188097                          ,19 58 41.2906918272 -69 09 50.240341692,5.724
* bet Pav                          ,20 44 57.4939895 -66 12 11.570756      ,3.408
* ups Pav                          ,20 41 57.0765328248 -66 45 38.450579292,5.134
HD 200751                          ,21 08 32.6953622856 -63 55 41.734434612,5.75
* eps Ind                          ,22 03 21.6536261624 -56 47 09.522795714,4.69
* del Ind                          ,21 57 55.0735349 -54 59 33.274025      ,4.4
HD 211415                          ,22 18 15.6133953371 -53 37 37.466806476,5.39
V* S Gru                           ,22 26 05.4746030880 -48 26 18.747922776,6
* bet Gru                          ,22 42 40.05027 -46 53 04.4752          ,2.11
HD 118354                          ,13 37 23.4760845096 -46 25 40.432277640,5.889
HD 119938                          ,13 47 27.6376234800 -50 14 57.434503632,5.91
HD 119971                          ,13 47 38.5389693936 -50 19 14.478304008,5.446
HD 121190                          ,13 55 12.1422664176 -52 09 38.957327676,5.71
HD 121853                          ,13 59 17.4840079152 -50 22 10.732150956,5.927
* M Cen                            ,13 46 39.3777663 -51 25 57.953282      ,4.632
HD 123569                          ,14 09 54.8142372672 -53 26 20.204852820,4.736
HD 124147                          ,14 13 16.4105180328 -53 39 56.373144012,5.575
* v Cen                            ,14 20 19.5426210 -56 23 11.389952      ,4.35
HD 124367                          ,14 14 57.1383087504 -57 05 10.049405532,5.07
NGC 5662                           ,14 34 56.2 -56 38 24                   ,5.5
* alf Cen A                        ,14 39 36.49400 -60 50 02.3737          ,0.01
* alf Cen                          ,14 39 29.71993 -60 49 55.9990          ,-0.1
* alf Cen B                        ,14 39 35.06311 -60 50 15.0992          ,1.33
HD 131342                          ,14 55 34.5596629392 -60 06 50.995267884,5.18
* tet Cir                          ,14 56 43.9873836 -62 46 51.657921      ,5.11
* eps Cir                          ,15 17 38.8930691376 -63 36 37.683132408,4.849
V* LX TrA                          ,15 27 33.0785673096 -64 31 53.399458920,5.706
CD-65 2007                         ,15 47 53.05292 -65 26 32.2086          ,5.53
HD 145689                          ,16 17 05.4106267752 -67 56 28.623022404,5.944
V* LP TrA                          ,16 46 39.9916001976 -67 06 34.885332000,5.1
* eta01 TrA                        ,16 41 23.1077528040 -68 17 46.038961032,5.884
V* MX TrA                          ,16 59 33.95864 -69 16 05.3857          ,5.884
* alf TrA                          ,16 48 39.89508 -69 01 39.7626          ,1.92
HD 154903                          ,17 13 17.8780021368 -67 11 47.724085212,5.873
* zet Aps                          ,17 21 59.4776962248 -67 46 14.408357340,4.78
HD 175986                          ,19 03 29.6331376968 -68 45 20.091805452,5.861
* kap Pav                          ,18 56 57.0289935240 -67 14 00.581211276,4.4
HD 177389                          ,19 09 52.8681101376 -68 25 28.018058124,5.305
HD 182709                          ,19 31 10.9707380784 -68 26 02.112868752,5.961
* mu.01 Pav                        ,20 00 23.0934716064 -66 56 57.916318524,5.76
* mu.02 Pav                        ,20 01 52.4617617696 -66 56 38.271651288,5.331
* del Pav                          ,20 08 43.6088716052 -66 10 55.442769229,3.56
CD-62 1338                         ,20 51 38.50881 -62 25 45.5812          ,5.65
* pi.02 Gru                        ,22 23 07.9870226784 -45 55 42.558056400,5.62
* del01 Gru                        ,22 29 16.1748102 -43 29 44.024527      ,3.97
* del02 Gru                        ,22 29 45.4340191 -43 44 57.196785      ,4.11
HD 118338                          ,13 37 06.0110392032 -44 08 35.529305568,5.957
HD 120640                          ,13 51 47.2155271416 -46 53 55.199706720,5.752
HD 121416                          ,13 56 19.7763079968 -46 35 34.616994576,5.815
* zet Cen                          ,13 55 32.38565 -47 17 18.1482          ,2.55
NGC 5460                           ,14 07 23.3 -48 17 06                   ,5.6
V* V869 Cen                        ,14 09 35.0324964096 -51 30 16.832689380,5.961
HD 125869                          ,14 23 48.5805188400 -53 10 34.479400944,5.993
HD 127486                          ,14 33 32.3675414880 -54 59 55.039118856,5.87
* bet Cir                          ,15 17 30.8501567 -58 48 04.337319      ,4.057
* gam Cir A                        ,15 23 22.656792 -59 19 14.52792        ,4.96
* gam Cir B                        ,15 23 22.691592 -59 19 13.74888        ,5.59
HD 135160                          ,15 16 36.69225 -60 54 14.3783          ,5.73
HD 135591                          ,15 18 49.1432685384 -60 29 46.795963020,5.46
* del Cir                          ,15 16 56.8959099600 -60 57 26.120078136,5.09
HD 136359                          ,15 23 10.5035736792 -60 39 25.812143568,5.651
* bet TrA                          ,15 55 08.5620636 -63 25 50.615531      ,2.85
* del TrA                          ,16 15 26.2697841 -63 41 08.449198      ,3.839
* iot TrA                          ,16 27 57.3455455848 -64 03 28.585517400,5.27
* tet TrA                          ,16 35 44.8210485504 -65 29 43.438646400,5.5
* eta Pav                          ,17 45 43.9860472 -64 43 25.939391      ,3.581
HD 172211                          ,18 43 37.3375808736 -64 33 05.130535788,5.757
HD 172555                          ,18 45 26.9009806435 -64 52 16.534807985,4.767
* tet Pav                          ,18 48 37.9048429296 -65 04 39.648145224,5.701
* phi01 Pav                        ,20 35 34.8500676912 -60 34 54.296843484,4.745
* rho Pav                          ,20 37 35.3127488 -61 31 47.714455      ,4.849
* phi02 Pav                        ,20 40 02.6374808954 -60 32 56.018592211,5.121
* bet Ind                          ,20 54 48.6027789 -58 27 14.961814      ,3.65
* alf Gru                          ,22 08 13.98473 -46 57 39.5078          ,1.71
HD 119361                          ,13 43 40.08015 -42 04 03.0308          ,5.965
* nu. Cen                          ,13 49 30.2764388 -41 41 15.752069      ,3.386
* mu. Cen                          ,13 49 36.9886294 -42 28 25.429594      ,3.43
* ups01 Cen                        ,13 58 40.7486851 -44 48 12.908967      ,3.87
* ups02 Cen                        ,14 01 43.5069676512 -45 36 12.274581744,4.33
HD 126983                          ,14 30 20.9429507016 -49 31 08.533544160,5.376
* sig Lup                          ,14 32 37.0566690 -50 27 25.774609      ,4.423
HD 127501                          ,14 33 29.9684943168 -52 40 46.267015620,5.87
* b Lup                            ,14 47 01.2936609336 -52 23 00.662148132,5.22
* c Lup                            ,14 56 17.2510924608 -52 48 34.384121424,5.386
HD 134270                          ,15 11 15.9833323248 -55 20 45.707911872,5.43
HD 139211                          ,15 39 56.5437010824 -59 54 30.007118052,5.95
HD 142139                          ,15 56 05.9113323384 -60 28 56.944656660,5.76
HD 148291                          ,16 30 49.3595489040 -61 38 00.620711808,5.182
HD 152082                          ,16 55 24.6888182136 -63 16 10.777698012,5.996
HD 156838                          ,17 24 01.0755355008 -62 51 50.954343768,5.676
* iot Pav                          ,18 10 26.1537006792 -62 00 07.992182016,5.49
* pi. Pav                          ,18 08 34.8145890 -63 40 06.790622      ,4.328
HD 166599                          ,18 15 40.6145646768 -63 03 19.310091408,5.582
* nu. Pav                          ,18 31 22.4250858 -62 16 41.885313      ,4.64
* lam Pav                          ,18 52 13.0342656 -62 11 15.332363      ,4.207
HD 188162                          ,19 57 06.3091891368 -58 54 04.866145452,5.241
V* NU Pav                          ,20 01 44.7454026 -59 22 33.217740      ,5.13
* alf Pav                          ,20 25 38.85705 -56 44 06.3230          ,1.918
* mu. Ind                          ,21 05 14.2487321712 -54 43 37.349602788,5.163
HD 202103                          ,21 15 45.8630571456 -53 15 47.119650948,5.719
HD 207129                          ,21 48 15.7511634187 -47 18 13.017893348,5.58
* chi Cen                          ,14 06 02.7682446 -41 10 46.678780      ,4.343
* phi Cen                          ,13 58 16.2668006 -42 06 02.714311      ,3.802
HD 125442                          ,14 20 42.5816811192 -45 11 13.407629784,4.77
* tau02 Lup                        ,14 26 10.81378 -45 22 45.4023          ,4.352
* iot Lup                          ,14 19 24.2221950 -46 03 29.143666      ,3.529
HD 126504                          ,14 27 12.1541517840 -46 08 03.097545864,5.811
* tau01 Lup                        ,14 26 08.2242382 -45 13 17.131532      ,4.553
* alf Lup                          ,14 41 55.7557866 -47 23 17.515486      ,2.286
* rho Lup                          ,14 37 53.2258272 -49 25 32.979759      ,4.05
* zet Lup                          ,15 12 17.0959556 -52 05 57.291916      ,3.41
HD 141318                          ,15 51 06.8041626360 -55 03 19.928655972,5.767
* iot01 Nor                        ,16 03 32.08942 -57 46 30.2641          ,4.63
* iot02 Nor                        ,16 09 18.5476443528 -57 56 03.548808456,5.57
HD 145782                          ,16 15 49.7975006976 -57 54 44.457871500,5.622
NGC 6087                           ,16 18 53.0 -57 54 58                   ,5.4
HD 147977                          ,16 28 15.1597825560 -58 35 59.258725908,5.673
HD 150745                          ,16 46 21.2258832984 -58 30 12.943454616,5.728
HD 150898                          ,16 47 19.6583362032 -58 20 29.199122664,5.61
* eta Ara                          ,16 49 47.1565275 -59 02 28.957499      ,3.744
HD 156091                          ,17 19 12.5075152848 -59 41 40.602171876,5.894
HD 156942                          ,17 24 18.7964081064 -60 40 25.670422884,5.754
* del Ara                          ,17 31 05.9127207 -60 41 01.852144      ,3.62
HD 161814                          ,17 51 35.4716780064 -60 09 50.604395508,5.774
* ksi Pav                          ,18 23 13.6373235096 -61 29 38.082918192,4.367
* ome Pav                          ,18 58 36.4475854392 -60 12 01.972444896,5.14
* nu. Tel                          ,19 48 01.1976590424 -56 21 45.399621636,5.33
* eta Ind                          ,20 44 02.3340423 -51 55 15.496981      ,4.495
* iot Ind                          ,20 51 30.0509802576 -51 36 29.442873312,5.044
HD 124433                          ,14 14 42.6603208608 -41 50 14.971681608,5.613
HR 5362                            ,14 20 09.70145 -43 03 31.8356          ,5.56
* a Lup                            ,14 37 20.1567290 -46 08 00.381075      ,5.431
HD 126981                          ,14 30 08.6286924144 -45 19 16.881861216,5.5
HD 128068                          ,14 36 19.0310210640 -46 14 43.623130092,5.55
HD 129858                          ,14 46 28.9930938144 -47 26 28.023226440,5.74
HD 131657                          ,14 56 32.05337 -47 52 45.1065          ,5.64
HD 133631                          ,15 07 25.9501614072 -49 05 18.988942560,5.766
* kap Lup                          ,15 11 56.0732718648 -48 44 16.169955108,3.7
* kap02 Lup                        ,15 11 57.6753653496 -48 44 37.268386692,5.498
HD 139129                          ,15 38 49.4705005656 -52 22 21.709310952,5.423
HD 141168                          ,15 50 07.0836208248 -53 12 35.174581380,5.78
* 39 Nor                           ,16 13 16.9692313968 -53 40 16.227579324,5.944
V* V368 Nor                        ,16 16 43.2777442008 -53 48 40.001097600,5.44
* kap Nor                          ,16 13 28.7300726256 -54 37 49.683051444,4.94
* zet Nor                          ,16 13 22.6979076360 -55 32 27.410748540,5.772
HD 146690                          ,16 20 25.2515100000 -55 08 22.943713488,5.744
* zet Ara                          ,16 58 37.2121689 -55 59 24.520302      ,3.076
HD 151967                          ,16 54 00.3605199960 -57 54 34.241526180,5.905
HD 153716                          ,17 04 24.7197947256 -57 42 43.784424252,5.727
HD 156854                          ,17 23 07.1216344296 -56 31 31.976443020,5.763
HD 156768                          ,17 22 55.22084 -58 00 37.1661          ,5.872
* gam Ara                          ,17 25 23.6593111 -56 22 39.814775      ,3.34
HD 158220                          ,17 31 23.2836129696 -56 55 15.468393900,5.984
HR 6586                            ,17 44 55.8646231368 -57 32 43.944881532,5.964
HD 169836                          ,18 29 56.7377263872 -57 31 23.309775912,5.76
HD 182509                          ,19 27 48.1173944592 -54 19 30.978581340,5.688
HD 187420                          ,19 52 37.7211694224 -54 58 15.699975240,5.705
* ksi Tel                          ,20 07 23.1574676136 -52 52 50.854022940,4.94
HD 191829                          ,20 14 19.0252574688 -52 26 44.755327608,5.632
V* T Ind                           ,21 20 09.4835040168 -45 01 18.808630176,6
HD 204960                          ,21 33 23.5147748808 -44 50 55.339268208,5.563
* a Cen                            ,14 23 02.2390294 -39 30 42.549250      ,4.42
HD 127971                          ,14 35 31.4790402792 -41 31 02.792148564,5.87
* eta Cen                          ,14 35 30.4241610 -42 09 28.170782      ,2.31
* omi Lup                          ,14 51 38.3028905 -43 34 31.296546      ,4.313
* lam Lup                          ,15 08 50.6128505350 -45 16 47.500979673,4.05
* pi. Lup                          ,15 05 07.2349623163 -47 03 03.828968181,3.89
HD 135235                          ,15 15 53.6732056920 -48 04 25.267073232,5.958
* mu.02 Lup                        ,15 18 31.945137 -47 52 30.31705        ,5.01
* nu.01 Lup                        ,15 22 08.2706803440 -47 55 40.053168840,5
* nu.02 Lup                        ,15 21 48.1499105161 -48 19 03.469906910,5.65
HD 141194                          ,15 49 57.4982446872 -48 54 44.656364520,5.837
HD 150576                          ,16 44 39.7432126872 -53 09 08.338244688,5.967
* eps01 Ara                        ,16 59 35.0487987 -53 09 37.571300      ,4.05
* eps02 Ara                        ,17 03 08.7535948608 -53 14 12.969631572,5.278
HD 153053                          ,17 00 06.2792932296 -54 35 49.837300800,5.633
* bet Ara                          ,17 25 17.9878053183 -55 31 47.574076000,2.85
* pi. Ara                          ,17 38 05.5153908936 -54 30 01.562028048,5.242
NGC 6397                           ,17 40 42.09 -53 40 27.6                ,5.17
V* V539 Ara                        ,17 50 28.3930000656 -53 36 44.664776352,5.71
HD 167128                          ,18 17 07.5324253562 -56 01 24.057583523,5.36
* lam Tel                          ,18 58 27.7671030 -52 56 19.062207      ,4.838
* rho Tel                          ,19 06 19.9561471392 -52 20 27.280858848,5.174
* eta Tel                          ,19 22 51.2060774616 -54 25 26.145617376,5.02
HD 183552                          ,19 32 53.8239036168 -53 11 08.214803700,5.744
* alf Ind                          ,20 37 34.0320077 -47 17 29.402601      ,3.11
* zet Ind                          ,20 49 28.9625672064 -46 13 36.577128720,4.882
* tet01 Mic                        ,21 20 45.6194367384 -40 48 34.620146136,4.82
* tet02 Mic                        ,21 24 24.8179591 -41 00 24.103339      ,5.775
* ksi Gru                          ,21 32 05.8759161360 -41 10 45.516268344,5.286
HD 127193                          ,14 31 10.8395158224 -38 52 10.959619980,5.983
HD 128207                          ,14 36 44.1322515504 -40 12 41.696287632,5.736
* kap Cen                          ,14 59 09.6849382 -42 06 15.106919      ,3.11
* bet Lup                          ,14 58 31.92536 -43 08 02.2699          ,2.68
HD 133937                          ,15 08 39.1980242592 -42 52 04.522458612,5.82
* e Lup                            ,15 12 49.5868237 -44 30 01.485338      ,4.806
* eps Lup                          ,15 22 40.8682566 -44 41 22.614637      ,3.366
* d Lup A                          ,15 35 53.2483773576 -44 57 30.199256928,4.708
HD 137709                          ,15 29 24.2699250840 -46 43 57.738647172,5.222
* eta Nor                          ,16 03 12.8978280 -49 13 46.915070      ,4.643
* gam01 Nor                        ,16 17 00.9341075 -50 04 05.233284      ,5.09
HD 147152                          ,16 22 27.9954362 -49 34 20.473922      ,5.318
* gam02 Nor                        ,16 19 50.4222657 -50 09 19.822276      ,4.02
HD 150168                          ,16 41 40.2261742224 -49 39 05.588433432,5.68
HD 152824                          ,16 58 17.9402481288 -50 38 28.268032452,5.534
HD 152527                          ,16 56 28.7691293280 -52 17 01.488539184,5.933
* kap Ara                          ,17 26 00.0431284872 -50 38 00.623818572,5.193
HD 157662                          ,17 27 12.4610121672 -50 37 49.341815076,5.898
HD 157753                          ,17 27 57.6013286592 -52 17 49.714902636,5.723
* mu. Ara                          ,17 44 08.7031414872 -51 50 02.591603160,5.15
HD 169326                          ,18 27 04.2230805480 -53 06 36.752105880,5.96
* kap Tel                          ,18 52 39.6449693304 -52 06 26.531218836,5.173
HD 176664                          ,19 03 57.5590518576 -51 01 06.971489220,5.928
HD 187086                          ,19 50 14.0595904536 -47 33 26.601374772,5.895
* nu. Mic                          ,20 33 55.0725726576 -44 30 57.764228760,5.118
* iot Mic                          ,20 48 29.1527210832 -43 59 18.542615928,5.1
* eta Mic                          ,21 06 25.5198214776 -41 23 09.472175916,5.505
HD 201647                          ,21 12 13.7128071360 -40 16 09.701004612,5.83
HD 201772                          ,21 13 03.0682684872 -39 25 29.709740388,5.26
* b Cen                            ,14 41 57.5906796 -37 47 36.594024      ,4
HR 5543                            ,14 52 51.0737484 -37 48 11.386959      ,5.015
HD 130055                          ,14 47 05.0967633360 -38 17 26.292004548,5.898
HD 133340                          ,15 05 19.1648924304 -41 04 02.053520256,5.127
V* HR Lup                          ,15 08 12.1238757000 -40 35 02.155417224,5.79
* del Lup                          ,15 21 22.3138254072 -40 38 51.109328940,3.19
V* GG Lup                          ,15 18 56.3746551072 -40 47 17.596548564,5.604
HD 135345                          ,15 16 04.0190393016 -41 29 28.196512944,5.171
* ome Lup                          ,15 38 03.2037165 -42 34 02.444371      ,4.33
HD 138816                          ,15 36 12.0993483504 -44 23 48.574590360,5.434
* g Lup                            ,15 41 11.3768069149 -44 39 40.341696305,4.633
* del Nor                          ,16 06 29.4516604824 -45 10 23.808085716,4.713
* tet Nor                          ,16 15 15.3177605472 -47 22 19.271560980,5.124
* eps Nor                          ,16 27 11.0361094 -47 33 17.222561      ,4.521
HD 148379                          ,16 29 42.3277745448 -46 14 35.630932596,5.37
HD 150136                          ,16 41 20.4155898816 -48 45 46.730465028,5.65
V* V854 Ara                        ,17 11 38.6860584864 -48 52 24.204947628,5.98
* iot Ara                          ,17 23 16.0762402440 -47 28 05.505681720,5.25
* alf Ara                          ,17 31 50.4915282 -49 52 34.122041      ,2.95
* lam Ara                          ,17 40 23.8255785576 -49 24 56.099256516,4.77
HD 159463                          ,17 37 27.3117198936 -50 03 34.922096532,5.878
* tet Ara                          ,18 06 37.8712898 -50 05 29.312523      ,3.66
HD 169405                          ,18 26 54.0137865144 -48 07 02.063824356,5.446
* zet Tel                          ,18 28 49.8597995 -49 04 14.112225      ,4.13
HD 171819                          ,18 39 14.2928901504 -47 54 35.152000560,5.84
HD 177406                          ,19 06 55.6069763136 -48 17 56.919531732,5.951
* iot Tel                          ,19 35 12.9863426256 -48 05 57.116564520,4.879
HD 189198                          ,20 00 48.3237603480 -45 06 46.523916828,5.781
* kap01 Sgr                        ,20 22 27.5022576960 -42 02 58.423208352,5.59
* kap02 Sgr                        ,20 23 53.17666 -42 25 22.3376          ,5.64
HD 198716                          ,20 53 40.1853821520 -39 48 35.509256172,5.334
HD 200073                          ,21 02 27.1654626504 -38 31 51.490444404,5.94
* zet Mic                          ,21 02 57.9529918512 -38 37 53.199743556,5.305
HD 134255                          ,15 10 07.3246930896 -38 47 33.035898228,5.978
* k Lup                            ,15 25 20.2130625384 -38 44 00.995041680,4.6
* ups Lup                          ,15 24 45.0085489 -39 42 36.952395      ,5.37
HD 138505                          ,15 34 01.7077109376 -40 03 59.158294848,5.82
* gam Lup                          ,15 35 08.44835 -41 10 00.3247          ,2.765
* gam Lup A                        ,15 35 08.438791 -41 10 00.45102        ,3.48
* gam Lup B                        ,15 35 08.378503 -41 10 00.36390        ,3.51
HD 140285                          ,15 44 22.67415 -41 49 08.7181          ,5.93
HD 143009                          ,15 59 30.2663692 -41 44 39.969829      ,4.984
* lam Nor                          ,16 19 17.6466043 -42 40 26.301386      ,5.44
HD 147225                          ,16 22 29.0674900032 -43 54 43.398524160,5.915
V* V1003 Sco                       ,16 38 26.2919895528 -43 23 54.328921872,5.83
* mu. Nor                          ,16 34 05.0202815 -44 02 43.128156      ,4.94
NGC 6250                           ,16 57 59.3 -45 57 04                   ,5.9
HD 154948                          ,17 10 42.3192274392 -44 33 27.711930024,5.08
* 41 Ara                           ,17 19 03.8375517433 -46 38 10.440417011,5.48
HD 157661A                         ,17 26 51.9781429032 -45 50 34.909906236,5.64
* sig Ara                          ,17 35 39.5895684 -46 30 20.461748      ,4.59
HD 160263                          ,17 41 16.2430825872 -46 55 18.611215428,5.79
* eps Tel                          ,18 11 13.7612300712 -45 57 15.882385536,4.508
* alf Tel                          ,18 26 58.4160403 -45 58 06.449765      ,3.463
* del01 Tel                        ,18 31 45.4328823 -45 54 53.316636      ,4.92
* del02 Tel                        ,18 32 01.9444190232 -45 45 26.565048540,5.07
HD 170069                          ,18 29 55.9413889656 -47 13 13.949992236,5.679
HD 173791                          ,18 49 27.3433049424 -45 48 36.360090108,5.798
HD 174387                          ,18 52 27.2297750304 -46 35 42.432654732,5.49
HD 179433                          ,19 14 39.5609534856 -45 11 36.698965080,5.909
HD 179886                          ,19 16 21.7421653176 -45 27 57.704061060,5.371
* bet02 Sgr                        ,19 23 13.1374490 -44 47 59.205109      ,4.27
* bet01 Sgr                        ,19 22 38.2992119424 -44 27 32.250184884,4.01
HD 183007                          ,19 29 23.8434913344 -43 26 42.702536328,5.701
V* PW Tel                          ,19 33 21.6223874880 -45 16 18.394560768,5.583
* iot Sgr                          ,19 55 15.6969107 -41 52 05.838796      ,4.13
HD 197630                          ,20 46 20.0677953120 -39 11 57.358970520,5.47
HD 198357                          ,20 51 00.7581658752 -37 54 47.992190904,5.5
* 1 Peg                            ,21 22 05.1994953807 +19 48 16.237518964,4.09
* eta CrB A                        ,15 23 12.230856 +30 17 17.56212        ,5.577
HD 158614                          ,17 30 23.79699 -01 03 46.4882          ,5.31
* ksi Cep A                        ,22 03 47.4397417176 +64 37 40.696071024,4.45
* bet01 Cyg A                      ,19 30 43.286 +27 57 34.84              ,3.2
* zet Phe                          ,01 08 23.0814982 -55 14 44.728914      ,4.014
* iot Cas A                        ,02 29 03.9170099016 +67 24 08.592124140,4.61
Cl* NGC 6882 HOAG 3                ,No Coord.                              ,5.901
HD 111904                          ,12 53 21.8944330272 -60 19 42.561114312,5.77
SN 2007aa                          ,12 00 27.69 -01 04 51.6                ,5.8
HD 41742                           ,06 04 40.1012416848 -45 04 44.095415808,5.966
SN 2009jb                          ,17 23 41.71 +30 29 50.6                ,1.07
* kap Tuc A                        ,01 15 46.0891031031 -68 52 33.401317053,4.95
* iot Tri A                        ,02 12 22.2796929264 +30 18 11.053179828,5.162
* 5 Pup A                          ,07 47 56.712815 -12 11 33.92458        ,5.73
* 2 And A                          ,23 02 36.382952 +42 45 28.05529        ,5.18
* 84 Vir                           ,13 43 03.7117368757 +03 32 16.440171724,5.423
* rho Ori A                        ,05 13 17.4794093232 +02 51 40.461146748,4.48
BD+09 2882A                        ,14 23 22.6954782600 +08 26 47.826605184,5.037
* 31 Cyg                           ,20 13 37.9082370480 +46 44 28.761618048,3.8
* iot Pic                          ,04 50 54.7 -53 27 22                   ,5.23
HD 215359A                         ,22 44 05.211 +39 27 55.10              ,5.991
* gam Cet A                        ,02 43 18.0411823985 +03 14 08.966925702,3.54
* ome Aur                          ,04 59 15.4093630440 +37 53 24.881188776,5
* 57 UMa A                         ,11 29 04.1217459408 +39 20 13.096384800,5.35
HD 125628                          ,14 22 37.077 -58 27 32.80              ,4.93
HD 20631A                          ,03 18 41.1499376352 -18 33 35.252065908,5.84
HD 37209A                          ,05 36 35.6933463600 -06 03 53.102455123,5.75
HD 99922                           ,11 29 38.6191667160 -24 27 50.476033440,5.813
* 1 Cam A                          ,04 32 01.8407070864 +53 54 39.015769176,5.77
* sig CrB A                        ,16 14 40.8534439608 +33 51 31.011629868,5.55
* alf For A                        ,03 12 04.5298039833 -28 59 15.439152331,3.98
* zet Her A                        ,16 41 17.464944 +31 36 06.97284        ,2.88
* b Dra A                          ,18 23 54.6068869728 +58 48 02.655594972,5.05
* rho Cap A                        ,20 28 51.6147879600 -17 48 49.259083644,4.93
* sig Cas A                        ,23 59 00.5382911352 +55 45 17.746153200,5.01
* 3 Cen A                          ,13 51 49.6006251024 -32 59 38.705803764,4.52
* m Hya A                          ,14 46 00.0817095600 -25 26 35.439462384,5.11
* mu. Lib A                        ,14 49 19.0508410405 -14 08 56.492328934,5.6
* 212 Pup A                        ,07 52 15.6629659718 -34 42 19.583704630,5.12
* Q Cen A                          ,13 41 44.7704279736 -54 33 33.934726980,5.217
* 41 Aqr A                         ,22 14 18.0328528752 -21 04 28.441800444,5.526
HD 35162                           ,05 21 46.244 -24 46 22.72              ,5.34
* C Car                            ,08 15 15.9226688592 -62 54 56.307908772,5.259
